Issue A,Issue B,value,Description
Rising Temps , Restoration,0.3,"Rising temperatures cause phenological mismatches in restoration sites, affecting the viability of restored vegetation. Erratic temperature swings are especially detrimental for restoration initiatives."
Rising Temps , Soil Erosion,0.3,"Hot and dry soils from rising temperatures and extreme high temperatures create favorable conditions for soil erosion. Hotter soils must be irrigated, more irrigation leads to erosion. "
Rising Temps , Storm Water,0.6,"Higher temperatures lead to extreme precipitation events (intense rainfall), causing stormwater issues. Changing soil conditions due to rising temperatures alters stormwater regimes. "
Rising Temps , Transportation,0.2,Rising temperatures can cause issues with transportation infrastructure by expanding roadways. High temperatures can influence whether cooling is required for transportation in addition to the methods of transport people may choose.
Rising Temps , Tree Mgmt,0.7,"Rising temperatures impact which trees can grow in an area. Higher temperatures cause heightened pest and pathogen pressures, which can contribute to tree kills. "
Rising Temps , Vulnerable Com,0.8,Heat waves caused by rising temperatures are especially harmful to vulnerable populations who are more likely to lack access to air conditioning or who work jobs that keep them outdoors. 
Rising Temps , Warm Season,0.9,"Increased temperatures cause more water to be evaporated and transpired, leading to eccentric precipitation patterns. "
Rising Temps , Water Quality,0.55,"Because rising temperatures impact the hydrologic cycle, they can lead to greater amounts of precipitation that carry pollutants into waterways, ultimately degrading water quality. Also, warmer ambient temperatures increase water temperatures."
Soil Erosion , Air Quality,0.725,Erosion of soil can influence the amount of particulate matter in the air. 
Soil Erosion , Forests,0.7,Soil erosion can significantly impact forest health as tree growth is hampered and there can be less germination of desirable species. Agricultural erosion may force farmers to log and clear their forested land to convert it to new agricultural land.
Soil Erosion , Green Infra,0.65,Soil erosion can clog GI projects if too much enters the structure. This ultimately reduces the effectiveness of the GI.
Soil Erosion , Habitat Loss,0.75,"Soil erosion leads to habitat loss as vegetation becomes less likely. Sedimentation in rivers cvan harm aqutic habitat, including areas where fish are more likely to spawn."
Soil Erosion , Human Health,0.65,"Soil erosion can threaten food supply, which ultimately impact human nutrition. Eroded soils carry nutrients into water bodies, causing harmful algal blooms that can be toxic to humans."
Soil Erosion , Invasive Species,0.8,Degraded plant health due to eroded soils increases plant susceptibility to invasions. Exposed soil is available to invasive seeds. Some plants planted for soil erosion control are invasive themselves.
Soil Erosion , Land Use,0.7,"Soil erosion is something that is mandated to be considered during land use or transportation projects, especially when the project occurs near waterways. "
Soil Erosion , Nutrients,0.925,"As soils become eroded, they take nutrients along with them. Areas with eroded soils have altered nutrient management plans. "
Soil Erosion , Pests and Path,0.25,Reduced plant growth due to soil erosion removes some hosts for pests and pathogens. Weakened plants due to soil erosion are more susceptible to pests and pathogens.
Soil Erosion , Recreation,0.5,"Eroded soils impact water quality, worsening the quality of the green space for things like enjoyment and fishing."
Soil Erosion , Restoration,0.6,"Soil erosion, in addition to being a driver for restoration projects, can reduce the effectivenes of a restored site if it is not properly designed. "
Soil Erosion , Rising Temps,0.15,"Soil erosion that leads to vegetation loss can lead to a loss of a carbon sink. As soils become eroded, they can release GHGs that were previously trapped. "
Soil Erosion , Storm Water,0.95,"Eroded gulleys create new stormwater pathways that are especially flashy, meaning they have high runoff rates."
Soil Erosion , Transportation,0.525,"Soil washouts and clogged up waterways can impact roadways, making it harder to travel on some roads."
Soil Erosion , Tree Mgmt,0.55,Soil erosion can make it difficult to establish trees in urban areas. Trees can be undercut from erosion. 
Soil Erosion , Vulnerable Com,0.75,"Soil erosion can affect food production systems, which  affect vulnerable populations moreso than others from a nutritional standpoint."
Soil Erosion , Warm Season,0.2375,"Loss of soil productivity due to erosion will hinder plant growth, leading to a smaller and closing carbon sink. "
Soil Erosion , Water Quality,1,"Soil erosion increased turbidity and nutrient loading in waterways, which dramatically impacts water quality. Eoded soil is the number one pollutant in waterways. "
Storm Water , Air Quality,0.05,Stormwater runoff that takes down trees and floods homes can lead to worse air filtration or even indoor air quality issues from molding.
Storm Water , Forests,0.4,"Stormwater is usually well-handled by healthy forests, despite some blowdown of trees from the most intense stormwater."
Storm Water , Green Infra,0.8,"Stormwater issues are the main reason why GI is installed. Stormwater can carry sediment and pollutants in the GI structures, creating maintenance requirements for the GI. "
Storm Water , Habitat Loss,0.75,Stormwater that causes flooding or that erodes banks can be especially harmful to aquatic and riparian habitat.
Storm Water , Human Health,0.9,Stormwater runoff across the land leads to poor water quality and drinking water problems. Flooding impacts can be acutely devastating for human health and well-being.
Storm Water , Invasive Species,0.8,"Stormwater dispersed seeds and propagules, moving invasives from one location to another. Stormwater can create favorable conditions for certain invasives to flourish (e.g. Phragmites). "
Storm Water , Land Use,0.7,"Stormwater regimes impact the viability of a land for certain land use types. Stormwater management is essential for land use planning, also making it more expensive."
Storm Water , Nutrients,0.85,"Stormwater has a major impact on nutrients as runoff carries nutrients along with it. On ag fields, nutrient loss has more to do with rainfall falling on soils than with stormwater passing through the agricultural site."
Storm Water , Pests and Path,0.35,Stormwater can spread pests and water-borne pathogens. Stormwater that degrades tree health renders vegetation more susceptible to pest and pathogen invasions.
Storm Water , Recreation,0.85,"Green space accessibility and use is worsened by stormwater and flooding as trails can become closed, and streams can become too flashy for kayaking."
Storm Water , Restoration,0.65,"Stormwater issues, in addition to being a reason why an area might undergo a restoration process, can make the act of restoration much more difficult. "
Storm Water , Rising Temps,0,"To a small degree, stormwater issues can result in hydric soils that mediate local temperatures."
Storm Water , Soil Erosion,1,Stormwater directly causes soil erosion and increases the rate at which soil is eroded. 
Storm Water , Transportation,0.725,Flooding and stormwater issues can make roads impassable and disrupt supply chains. Transportation systems are not resilient and are slow to adapt to these changes.
Storm Water , Tree Mgmt,0.75,Flooding kills many trees. Stormwater issues might catalyze urban tree plantings as a means by which to control stormwater.
Storm Water , Vulnerable Com,0.8,"Underserved vulnerable communities are more likely to be located on flood planes, therefore are more likely to experience flooding from excess stormwater. They are also more likely to experience negative consequences from combined sewer overflows."
Storm Water , Warm Season,0.05,Large stormwater events that move soil and disrupt vegetation can limit carbon sequestration.
Storm Water , Water Quality,1,Stormwater runoff makes a big difference in water quality as it carries sediments and pollutants into waterways.
Transportation , Air Quality,1,A significant portion of air quality issues stem fom vehicle emissions.
Transportation , Forests,0.55,"Transportation infrastructure destroys forest habitat and causes forest fragmentation, in addition to leading to human-wildlife conflicts."
Transportation , Green Infra,0.5,"Pervious pavements can be used as both a transportation infrastructure and a green infrastructure. Often times, transportation routes can create opportunities for adjacent GI projects."
Transportation , Habitat Loss,0.8,"Transportation infrasturcture chops up habitat, causing fragmentation. This has dramatic effects on wildlife biodiversity."
Transportation , Human Health,0.8,"Active transportation methods (walking, biking, running) are ways to improve health. Vehicular transportation causes emissions which contribute to worsened human health from air quality problems and climate impacts on health."
Transportation , Invasive Species,0.9,"Transportation is often times a vector for invasive species, as invasive organisms, seeds, and propagules latch on to boots, boats, or cars."
Transportation , Land Use,0.95,Existing transportation infrastructure guide land use planning and land valuations. Transit-oriented development means that development follows transit opportunities.
Transportation , Nutrients,0.275,"Certain transportation maintenance activities might require nutrients, to a small degree."
Transportation , Pests and Path,0.8,"Transportation emissions contribute to the changing climate, which creates high pests and pathogen pressures. More importantly, transportation facilitates the movement and introduction of invasive pests and pathogens."
Transportation , Recreation,0.6,Transportation impacts green space accessibility. 
Transportation , Restoration,0.625,"Transportation agencies that destroy land for infrastructure are sometimes required to buy into compensatory mitigation projects in which they buy into restoration projects elsewhere. Transportation infrastructure limits the viability and success of restoration projects, or could present an opportunity for restoration."
Transportation , Rising Temps,0.6,Transportation emissions lead to the greenhouse gas effect and rising temperatures. 
Transportation , Soil Erosion,0.575,"Roadway construction projects cause an immense amount of soil erosion, especially on sloped land surfaces. Transportation departments must devote time and resources to erosion control."
Transportation , Storm Water,0.8,Transportation infrastructure is usually impervious surfaces that create flashy stormwater surges. 
Transportation , Tree Mgmt,0.7,"Transportation infrastructure often times requires tree removal, depleting a tree canopy. "
Transportation , Vulnerable Com,0.75,Transportation (in)access impacts vulnerable communities who lack resources for their own vehicles. It is more difficult for these communtiies to get around to acquire the resources they need for a healthy lifestyle.
Transportation , Warm Season,0.65,Emissions that come from transportation lead to the intensification of changing warm season climate effect.
Transportation , Water Quality,0.6,"Transportation systems, especially those near waterways, are often times sources of pollutants that enter waterways. The salting of roads for snow and ice removal during the winter season causes major water quality issues (high salinity)."
Tree Mgmt , Air Quality,0.6,"Trees in urban areas filter air pollutants, especially particulate matter. Pine trees emit VOCs (volatile organic carbon compounds) which can be a precursor to ozone problems."
Tree Mgmt , Forests,0.55,Urban forests create habitat corridors that improve forest functions. Urban forests might also facilitate the spread of invasives or diseases. 
Tree Mgmt , Green Infra,0.875,"In some instances, trees can be used as a green infrastructure. The urban tree canopy intercepts and slows down stormwater."
Tree Mgmt , Habitat Loss,0.8,"Urban forests create habitat opportunities for many species, including mammals and insects."
Tree Mgmt , Human Health,0.95,"Urban trees improve physical and mental health by cleaning the air, cooling an area, and offering green spaces for people to access."
Tree Mgmt , Invasive Species,1,"Urban forests can create habitat for invasives to work their way into. Urban forestry sometimes involves actually planting invasive species as urban plants, which often time come from plant nurseries. Sometimes, urban forestry involves invasive species management and removal. "
Tree Mgmt , Land Use,0.6,Urban forests improve the value of urban lands through heat reduction and greenery. The provision of urban trees may be included in land use decision making. 
Tree Mgmt , Nutrients,0.35,"While urban trees and forests do uptake nutrients, they have only a small importance due to the fact that they do not occur near areas with high nutrient runoff. "
Tree Mgmt , Pests and Path,0.9,"Urban trees are typically planted in stressful conditions which makes them more susceptible to pest and pathogens. Therefore, urban forests can serve as resevoirs or bridges for invasions."
Tree Mgmt , Recreation,1,Urban forests provide green spaces. The presence of urban trees (or lack thereof) may make residents more likely to support tax levies that go towards green space preservation.
Tree Mgmt , Restoration,0.75,"Urban forests can sometimes be used for minor restoration efforts, especially in riparian zones. "
Tree Mgmt , Rising Temps,0.5,"Urban forests mitigate rising temperatures at a local level (mitigation of the urban heat island effect), but have little impact on  global temperature rise."
Tree Mgmt , Soil Erosion,0.7,Properly managed urban forests can slow or halt soil erosion with a strong root system and the cooling of soil temperatures due to shading.
Tree Mgmt , Storm Water,0.9,The tree canopy in urban systems intercepts and reduces peak flow stormwater runoff. 
Tree Mgmt , Transportation,0.45,Trees are always a part of transportation infrastructure planning. Trees can shade streets and cool asphalt temperatures and roots can upheave roadways. 
Tree Mgmt , Vulnerable Com,0.775,"Urban trees have been shown to improve oxygen and provisioning ecosystem services for the communities that (are able to) buy into tree management services. Vulnerable populations who lack financial resources might have less canopy cover in their communities, leading to worsened environmental health."
Tree Mgmt , Warm Season,0.6,"Urban trees intercept precipitation and can therefore mitigate the impacts of the changing warm season climate, although urban trees have less to do with global climate change mitigation. Urban trees can decrease the albedo of a land surface and create a cooling effect, in addition to having a noticable impact on humidity and temperatures."
Tree Mgmt , Water Quality,0.85,"Because trees can be used for stormwater management practices, they have beneficial impacts on water quality by holding in sediment and slowing or intercepting pollutants."
Vulnerable Com , Air Quality,0.25,"Vilnerable populations are more likely to contribute to worsened air quality problems because they lack the resources to avoid it. For example, members of vulnerable communities might be more likely to burn their trash, use wood-burning stoves, or drive gas-guzzling cars."
Vulnerable Com , Forests,0.45,Rural vulnerable populations who extract forest resources may mismanage forests and degrade forest health.
Vulnerable Com , Green Infra,0.15,Green infrastructure is difficult to implement in vulnerable communities because they are low income neighborhoods that are less concerned with installing environmentally-beneficial structures than they are with meeting their paychecks.
Vulnerable Com , Habitat Loss,0.25,Vulnerable rural populations who rely on forest resources for their livelihoods have the potential to destroy habitat in the process.
Vulnerable Com , Human Health,0.9,"By being in a Vulnerable population, a person is disproportionately exposed to environmental hazards and is less likely to be able to access proper medical care in these instances. Marginalized communities therefore bear the burden of climate and environmental health impacts."
Vulnerable Com , Invasive Species,0.3,"The lack of resources and time for the management of invasive species in vulnerable communities leads to their persistence, especially near abandoned sites and railways."
Vulnerable Com , Land Use,0.225,"Resource-poor vulnerable communities lack control (a voice) in land use planning. The existence of a vulnerable community in an area may alter development planning (to move away from it), or can require land use planning to consider the vulnerable population by, for instance, implementing public transportation options."
Vulnerable Com , Nutrients,0.5,Vulnerable populations may lack the ability to treat excess nutrients because they could lack wastewater treatment plants. Farmers who are considered to be vulnerable populations utilize nutrient applications for crop production.
Vulnerable Com , Pests and Path,0.5,"Because vulnerable populations lack resources to manage pests and pathogen outbreaks, they do have an impact on the spread of pests and pathogens."
Vulnerable Com , Recreation,0.1,Membership in a vulnerable community affects recreationand green space area usage.
Vulnerable Com , Restoration,0.25,"Disadvantaged communities simlply lack the funds to spend resources on restoration. In some situations, leaders may arise in a vulnerable community to bring people together to clean up an environmental problem."
Vulnerable Com , Rising Temps,0.15,Vulnerable populations tend to have less of an impact on climate change than do the wealthiest communities because they do not have enoigh resources to have a big effect/carbon footprint.
Vulnerable Com , Soil Erosion,0.4,"An immense need for resources and food can burden the food system and food production on agricultural land, this demand and overuse can lead to erosion in food systems."
Vulnerable Com , Storm Water,0.45,"Although stormwater invariably runs throguh vulnerable areas, these populations lack the resources to control or implement stormwater control methods. Therefore, they contribute to flashy stormwater runoff."
Vulnerable Com , Transportation,0.5,"Resource-poor vulnerable populations lack the ability to control transportation management decisions, in addition to creating a massive demand for public transit options. "
Vulnerable Com , Tree Mgmt,0.525,"In urban vulnerable communities, tree management is not a priority. Therefore, there are typically either less trees or unhealthier trees in impoverished communities compared to wealthy communities."
Vulnerable Com , Warm Season,0.1,"Vulnerable poulations have somewhat of an impact on the shifting warm season climate as they contribute to emissions from using outdated equipment and vehicles. As vulnerable populations become less vulnerable and grow stronger, they have the option to start anew and buy into renewable energy sources."
Vulnerable Com , Water Quality,0.5,Shoddy infrastructure in vulnerable areas leads to higher levels of water pollution. High population density and congestion in urban vulnerable communities causes water pollution. The usage of antibiotic and prescription drugs in vulnerable communities enters waterways and affects chemical water quality.
Warm Season , Air Quality,0.7,"Increased humidity and daytime temperatures can exacerbate ground-level ozone formation. Precipitation is a strong control over air pollution, therefore the changing warm season climate changes the seasonality of air pollutants."
Warm Season , Forests,0.85,"The changing warm season climate impacts forest species composition, as some native species are highly susceptible to climatic changes. This is a slow, gradual change. Warmer wet seasons can cause some species to flourish, and others to falter. The changing growing season increases invasive species pressures, in addition to increased pest and pathogen pressures. "
Warm Season , Green Infra,0.775,"The changing warm season climate and precipitation patterns can spark an increased reliance on GI as an adaptation option. Changes to seasonality can impact the functionality of existing GI designs, potentially by affecting the native plants used for the GI."
Warm Season , Habitat Loss,0.85,"The warm season climate changes cause phenological mismatches and changing patterns. Changing clamtic conditions changes the ways in which habitats function. Increased pest, pathogen, and invasive pressures due to a shifting climate leads to the loss of suitable habitat for native species. "
Warm Season , Human Health,1,"The changing warm season climate exacerbates ground-level ozone, which increases cardiovascular problems for people. Flooding events are more likely, which can harm human health and livelihoods. An increase in allergens, diseases, and pests due to a changing climate can lead to problems for human health. Growing season changes have the potential to disrupt food systems, jeopardizing human nutrition."
Warm Season , Invasive Species,0.875,"The changing warm season climatic patterns creates conditions conducive for the spread and success of invasives in new regions. Although invasives largely enter a new region due to human movement, they are increasingly surviving and thriving due to more suitable and warmer environments. "
Warm Season , Land Use,0.7,"New precipitation and seasonality regimes definitely impact land use planning, as land use planners must build infrastructure that can be resilient to precipitation and temperature extremes. The changign warm season climate has a major impact on the viability of some agricultural land uses."
Warm Season , Nutrients,0.875,Changing daytime and nighttime temperatures impact the uptake of nutrients by plants. High intensity precipitation events lead to nutrient loss on agricultural sites. These changing conditions affect the timing and amount of nutrient applications that are necessary.
Warm Season , Pests and Path,0.95,"The warming of the warm season and warming of overnight low temperatures allows for the fuerther expanmsion of pests. More water vapor in the atmosphere creates more rainfall, which leads to pathogen spread. Tropical diseases are able to penetrate further North. Warming winters reduces the amount of winter kill of pests. Longer growing seasons allows for pests to have more life cycles in a year. All of these effects lead to heightened pest and pathogen pressures."
Warm Season , Recreation,0.85,"A longer and warmer warm season means that people will seek out more recreation opportunities. Extreme heat can limit recreation. Water quality issues caused by warm season changes can keep people away. The changing warm season alters the growing season, species composition, and phenological patterns of the green space itself."
